point query Linear
chunk size, average elapsed time
24876977records have been loaded.
data have been inserted
chunk size, start_pos, end_pos 10000999
1000, 1999, 1041, 1303
1000, 1999, 1042, 371
1000, 1999, 1043, 1413
1000, 1999, 1044, 1575
1000, 1999, 1045, 1484
1000, 1999, 1046, 2184
1000, 1999, 1047, 188
1000, 1999, 1048, 938
1000, 1999, 1049, 428
1000, 1999, 1050, 1713
1000, 1999, 1051, 3251
1000, 1999, 1052, 781
1000, 1999, 1053, 3062
1000, 1999, 1054, 1751
1000, 1999, 1055, 148
1000, 1999, 1056, 300
1000, 1999, 1057, 33
1000, 1999, 1058, 1773
1000, 1999, 1059, 1594
1000, 1999, 1060, 978
1000, 1999, 1061, 1780
1000, 1999, 1062, 1937
1000, 1999, 1063, 206
1000, 1999, 1064, 2116
1000, 1999, 1065, 1340
1000, 1999, 1066, 1704
1000, 1999, 1067, 1217
1000, 1999, 1068, 715
1000, 1999, 1069, 1453
1000, 1999, 1070, 245
1000, 1999, 1071, 2223
1000, 1999, 1072, 1166
1000, 1999, 1073, 657
1000, 1999, 1074, 926
1000, 1999, 1075, 2146
1000, 1999, 1076, 1010
1000, 1999, 1077, 401
1000, 1999, 1078, 240
1000, 1999, 1079, 1361
1000, 1999, 1080, 942
1000, 1999, 1081, 490
1000, 1999, 1082, 2255
1000, 1999, 1083, 500
1000, 1999, 1084, 902
1000, 1999, 1085, 1309
1000, 1999, 1086, 1258
1000, 1999, 1087, 1367
1000, 1999, 1088, 1340
1000, 1999, 1089, 1993
1000, 1999, 1090, 114
1000, 1999, 1091, 804
1000, 1999, 1092, 1038
1000, 1999, 1093, 554
1000, 1999, 1094, 4034
1000, 1999, 1095, 714
1000, 1999, 1096, 828
1000, 1999, 1097, 2404
1000, 1999, 1098, 365
1000, 1999, 1099, 1045
1000, 1999, 1100, 1590
1000, 1999, 1101, 554
1000, 1999, 1102, 93
1000, 1999, 1103, 475
1000, 1999, 1104, 62
1000, 1999, 1105, 1296
